id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,zone,suspected_wash_trading,momentum,is_gold,btc_change_24h,btc_change_7d,rs_24h,rs_7d,rs_available,rs_strong_24h,rs_leader_24h,ratio,range,volume_recovery,price_resilience,timeframe_analysis,timeframe_classification,social_analysis,sector,accumulation_score,accumulation_signal,accumulation_slope,is_silent_accumulation,accumulation_reason,source_range
ondo-u-s-dollar-token,usdon,Ondo U.S. Dollar Token,https://coin-images.coingecko.com/coins/images/68688/large/usdon_160x160.png?1756268513,1.0,49420443,497,49420443.0,72533398,1.0,1.0,0.0,0.0,1641882.0,3.43644,49420443.28450141,48427083.33004143,,1.0,0.0,2025-08-27T08:45:01.644Z,1.0,0.0,2025-08-27T08:45:01.644Z,,2026-05-06T11:41:45.770Z,0.0,0.0,breakout,False,low,False,2.05344,,-2.05344,,True,False,False,1.4676800448753566,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 0 snapshots (mínimo 3),50m_range
neiro-3,neiro,Neiro,https://coin-images.coingecko.com/coins/images/39488/large/neiro.jpg?1731449567,0.00010019,42178604,555,42178604.0,36921469,0.00010333,9.67e-05,-2.406905695332e-06,-2.34605,-760362.021931909,-1.7708,420690000000.0,420690000000.0,420690000000.0,0.00301761,-96.67987,2024-11-12T08:05:49.038Z,2.44e-06,4008.7432,2024-08-01T07:00:23.692Z,,2026-05-06T11:41:51.421Z,75.87720544496534,6.245268770523563,strong,False,low,False,2.05344,,-4.39949,,True,False,False,0.8753601470546536,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.817,very_strong,0.2231,True,"Acumulação silenciosa FORTE: slope=0.2231, consistência=67%, aceleração=52%",50m_range
book-of-meme,bome,BOOK OF MEME,https://coin-images.coingecko.com/coins/images/36071/large/bome.png?1710407255,0.00060083,41460727,563,41460727.0,27860267,0.00061226,0.00057646,1.126e-05,1.90983,775976.0,1.90729,68999659569.0,68999659569.0,68999659569.0,0.02688878,-97.7654,2024-03-16T13:51:17.648Z,5.848e-05,927.41329,2024-03-14T10:17:29.365Z,,2026-05-06T11:41:43.496Z,54.286238101700256,11.039511929653628,strong,False,low,False,2.05344,,-0.14361000000000024,,True,False,False,0.6719676430179335,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.693,strong,0.1088,True,"Acumulação silenciosa: slope=0.1088, consistência=67%",50m_range
giggle-fund,giggle,Giggle Fund,https://coin-images.coingecko.com/coins/images/69414/large/giggle-fund.jpg?1758541887,36.87,36894760,612,36894760.0,23885895,37.57,34.7,0.941658,2.6206,873104.0,2.42383,1000000.0,1000000.0,1000000.0,274.54,-86.59017,2025-10-25T04:05:48.420Z,8.64,325.99579,2025-09-25T16:01:24.440Z,,2026-05-06T11:41:45.793Z,45.436694730440486,7.0456418344391745,strong,False,low,False,2.05344,,0.5671599999999999,,True,False,False,0.6474061628263743,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 2 snapshots (mínimo 3),50m_range
hive,hive,Hive,https://coin-images.coingecko.com/coins/images/10840/large/logo_transparent_4x.png?1696510797,0.068025,37067296,609,,18299304,0.09074,0.066672,-0.021763309385575635,-24.23839,-10988077.10106127,-22.86545,541786541.392,,,3.41,-98.0065,2021-11-26T01:46:11.175Z,0.055374,22.68216,2026-03-31T10:00:47.615Z,,2026-05-06T11:41:55.775Z,14.522730919117018,11.349168288805082,early_accumulation,False,low,False,2.05344,,-26.291829999999997,,True,False,False,0.49367787712381284,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 2 snapshots (mínimo 3),50m_range
zerebro,zerebro,Zerebro,https://coin-images.coingecko.com/coins/images/51289/large/zerebro_2.png?1730588883,0.03415792,34086829,658,34086828.0,13180961,0.03409428,0.02877125,0.00373089,12.26177,3124704.0,10.09202,999950015.001577,999950000.41056,1000000000.0,0.784071,-95.64352,2025-01-02T07:41:04.150Z,0.00580864,488.05356,2024-11-03T08:34:49.111Z,,2026-05-06T11:41:44.445Z,371.947321744632,54.56234950910669,early_accumulation,False,low,False,2.05344,,10.20833,,True,False,False,0.3866878024940366,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),50m_range
memecoin-2,meme,Memecoin,https://coin-images.coingecko.com/coins/images/32528/large/memecoin_%282%29.png?1698912168,0.00061711,39060828,593,42586053.0,15034935,0.00062203,0.00059377,1.061e-05,1.74917,1124543.0,2.96429,63288258966.66666,69000000000.0,69000000000.0,0.056324,-98.90435,2024-03-04T17:30:21.569Z,0.00048566,27.06565,2026-04-05T21:45:02.721Z,,2026-05-06T11:41:43.808Z,20.76346591762405,3.80530331136699,early_accumulation,False,low,False,2.05344,,-0.30427000000000026,,True,False,False,0.3849108114144431,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 2 snapshots (mínimo 3),50m_range
terrausd,ustc,TerraClassicUSD,https://coin-images.coingecko.com/coins/images/12681/large/UST.png?1696512486,0.00757585,42306187,554,46120670.0,12752128,0.00855493,0.007466,-8.1105219004847e-05,-1.05924,-317664.7739735991,-0.74527,5577802873.576113,6080715378.847612,,1.092,-99.30577,2021-01-11T22:30:57.984Z,0.00406362,86.54192,2026-02-06T00:26:24.223Z,,2026-05-06T11:41:56.668Z,63.0596085893866,25.984202509450107,early_accumulation,False,low,False,2.05344,,-3.11268,,True,False,False,0.30142465923483014,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",RWA,0.0,none,-0.0257,False,Ratio em queda — sem acumulação,50m_range
edu-coin,edu,Open Campus,https://coin-images.coingecko.com/coins/images/29948/large/EDU_Logo.png?1696528874,0.04655019,35248731,642,46539591.0,10144570,0.04703884,0.04564767,0.00045996,0.99796,303852.0,0.86952,757392361.0,1000000000.0,,1.67,-97.21995,2023-04-29T08:05:57.583Z,0.04149096,12.18971,2026-04-19T10:25:16.201Z,,2026-05-06T11:41:52.732Z,-4.465639880689816,2.3041228502708475,early_accumulation,False,low,False,2.05344,,-1.0554800000000002,,True,False,False,0.28779958064305916,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,-0.0177,False,Ratio em queda — sem acumulação,50m_range
wojak-5,wojak,wojak,https://coin-images.coingecko.com/coins/images/102172016/large/usz-J1DohLTr0BHrWVa5zpZ-JocyeixXhmlZT3ytjdOM9cn0aYq6PT8CeUjnGEKAkZSuNa8BW2KkSsCQvYFQe8A-bvqs_AibzILyjP8sIBtqPZu3gTFjLLCvB6WjlzXIrRrnd_Hlg-fKWlf9byXwsQBZqvJ_lC8OHuz351DVfntD30avGrTc3msIIsZzobmywtrwuesT.jpg?1770967858,1.30357e-07,40431445,575,40431445.0,11371833,1.39156e-07,1.05703e-07,2.4653e-08,23.32324,8116335.0,25.11622,305927038192333.7,305927038192333.7,420690000000000.0,1.39156e-07,-3.8283,2026-05-05T20:30:50.714Z,1.3227e-08,911.82294,2026-03-28T20:15:33.647Z,,2026-05-06T11:41:41.146Z,730.5074764684705,63.531853923752365,early_accumulation,False,low,False,2.05344,,21.269799999999996,,True,False,False,0.2812620968654472,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),50m_range
constitutiondao,people,ConstitutionDAO,https://coin-images.coingecko.com/coins/images/20612/large/GN_UVm3d_400x400.jpg?1696520017,0.00852418,43182699,545,43182699.0,11189151,0.00862486,0.0083431,-1.3848782207612e-05,-0.1622,-340397.2381079197,-0.78211,5066444892.014003,5066444892.014003,,0.185022,-95.39287,2021-12-23T05:59:19.861Z,0.0009194,827.15022,2021-11-21T11:33:21.508Z,,2026-05-06T11:41:42.259Z,29.426458819663186,7.804247057889256,early_accumulation,False,low,False,2.05344,,-2.21564,,True,False,False,0.25911189571545773,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 2 snapshots (mínimo 3),50m_range
paxos-standard,usdp,Pax Dollar,https://coin-images.coingecko.com/coins/images/6013/large/Pax_Dollar.png?1696506427,0.999306,40541310,574,40541310.0,9774198,0.99975,0.999128,-0.000273842511237077,-0.0274,-8238.366489008069,-0.02032,40569459.93027243,40569459.93027243,,1.18,-15.64247,2024-04-16T16:20:21.365Z,0.863529,15.72373,2021-05-19T13:14:42.046Z,"{'times': -0.000693864221453, 'currency': 'usd', 'percentage': -0.0693864221453}",2026-05-06T11:41:51.075Z,-0.09341536291889448,-0.0018993477180678292,early_accumulation,False,low,False,2.05344,,-2.0808400000000002,,True,False,False,0.24109230806799287,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.586,moderate,0.0393,False,Possível acumulação: slope=0.0393,50m_range
merlin-chain,merl,Merlin Chain,https://coin-images.coingecko.com/coins/images/37118/large/merlin.jpeg?1713352230,0.03835671,47444516,509,80567394.0,11379326,0.0423028,0.03774068,-0.001026383295689305,-2.60615,-1258500.445850484,-2.58403,1236647716.0,2100000000.0,2100000000.0,1.45,-97.35279,2024-04-19T11:41:13.943Z,0.02130297,80.1857,2026-04-03T19:50:42.218Z,,2026-05-06T11:41:53.170Z,59.37799921081308,7.035745998873855,early_accumulation,False,low,False,2.05344,,-4.65959,,True,False,False,0.2398449169552072,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 2 snapshots (mínimo 3),50m_range
snek,snek,Snek,https://coin-images.coingecko.com/coins/images/30496/large/Snek-Square-BG_200x200.png?1768638178,0.00053804,40144880,580,40430082.0,9545079,0.00053807,0.00049554,4.19e-05,8.44482,3075415.0,8.29636,74714279612.0,75245073429.0,76715880000.0,0.00895508,-93.99176,2024-12-05T11:50:53.994Z,0.00013847,288.56667,2023-10-20T02:25:36.411Z,,2026-05-06T11:41:46.768Z,25.547349468125248,13.966542409658858,early_accumulation,False,low,False,2.05344,,6.39138,,True,False,False,0.237765787318333,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Meme,0.0,none,0.0,False,Apenas 2 snapshots (mínimo 3),50m_range
cyberconnect,cyber,CYBER,https://coin-images.coingecko.com/coins/images/31274/large/token.png?1715826754,0.56353,35309916,641,56357241.0,8306823,0.56442,0.542139,0.01509583,2.75253,947333.0,2.75687,62653733.76,100000000.0,100000000.0,15.79,-96.43035,2023-09-01T22:25:07.435Z,0.441088,27.76875,2026-02-06T00:30:51.267Z,,2026-05-06T11:41:52.688Z,11.837177702270887,4.974946864127852,early_accumulation,False,low,False,2.05344,,0.69909,,True,False,False,0.2352546803000041,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",Other,0.0,none,0.0,False,Apenas 0 snapshots (mínimo 3),50m_range
